Timestamp,[.] Pregistration Choice 1,[.] Pregistration Choice 2,[.] Pregistration Choice 3,[.] Pregistration Choice 4,[*] Pregistration All Choice,[.] Choice 1 Attendance,[.] Choice 2 Attendance,[.] Choice 3 Attendance,[.] Choice 4 Attendance,[*] Attendance All Choices,[.] Participant Role,[.] Belonging Planning Unit,[.] Belonging Department,[.] Belonging Division,[.] Just to see the column alone
7/14/15 23:44,Business Intelligence -- Pieter Camps,My Standards (Webex) -- Nicolas Ernotte,External Threat Intelligence --Byron Thatcher,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Business Intelligence -- Pieter Camps,,,,,,Staff,Strategic Architecture,Technology Roadmap,IT,TechDay
7/16/15 20:37,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,,,,,Staff,Messaging Solutions,Messaging Integration,IT,TechDay
7/17/15 16:58,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Internal Audit -- Bradly Vancamp,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Block Chain -- Deepak Janardhanan,Internal Audit -- Bradly Vancamp,,Business Intelligence -- Pieter Camps,Staff,CISO,"Security Policies, Intelligence&Response",IT,TechDay
7/17/15 16:59,Innovation on Data Centers -- David Nalley (External),Containers -- Red Hat (External),Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Distributed Ledgers -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),,,,,,Manager,Messaging Solutions,Messaging Security & Infrastruc.Projects,IT,TechDay
7/17/15 17:00,Block Chain -- Deepak Janardhanan,Distributed Ledgers -- Jerry Kickenson,New Payment Platform -- Kumar Venkataramiah,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Block Chain -- Deepak Janardhanan,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,,,Innovation on Data Centers -- David Nalley (External),Staff,Strategic Architecture,Technology Roadmap,IT,TechDay
7/17/15 17:01,Open Stack -- Michael Solberg (Red Hat),Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Distributed Ledgers -- Jerry Kickenson,New Payment Platform -- Kumar Venkataramiah,Open Stack -- Michael Solberg (Red Hat),Innovation on Data Centers -- David Nalley (External),Block Chain -- Deepak Janardhanan,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,DA & FIN Delivery,SCP - UNN,IT,TechDay
7/17/15 17:01,Innovation on Data Centers -- David Nalley (External),External Threat Intelligence --Byron Thatcher,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),External Threat Intelligence --Byron Thatcher,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Strategic Architecture,Technology Roadmap,IT,TechDay
7/17/15 17:03,New Payment Platform -- Kumar Venkataramiah,Block Chain -- Deepak Janardhanan,Internal Audit -- Bradly Vancamp,Distributed Ledgers -- Jerry Kickenson,New Payment Platform -- Kumar Venkataramiah,Business Intelligence -- Pieter Camps,,Internal Audit -- Bradly Vancamp,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Business Intelligence -- Pieter Camps,Staff,Strategic Architecture,Requirements & Methodology Engineering,IT,TechDay
7/17/15 17:03,Business Intelligence -- Pieter Camps,My Standards (Webex) -- Nicolas Ernotte,New Payment Platform -- Kumar Venkataramiah,Distributed Ledgers -- Jerry Kickenson,Business Intelligence -- Pieter Camps,Business Intelligence -- Pieter Camps,New Payment Platform -- Kumar Venkataramiah,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Staff,Enterprise Application Solutions,"Infrastructure, Architecture & Analysis",IT,TechDay
7/17/15 17:04,Innovation on Data Centers -- David Nalley (External),Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Open Stack -- Michael Solberg (Red Hat),Innovation on Data Centers -- David Nalley (External),Business Intelligence -- Pieter Camps,Block Chain -- Deepak Janardhanan,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Staff,Technology Management,OSS Tools Dev/Maint,IT,TechDay
7/17/15 17:08,Distributed Ledgers -- Jerry Kickenson,Block Chain -- Deepak Janardhanan,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Business Intelligence -- Pieter Camps,Distributed Ledgers -- Jerry Kickenson,,,,,,Staff,CISO,Security Risk Management,IT,TechDay
7/17/15 17:09,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,My Standards (Webex) -- Nicolas Ernotte,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),,,,Innovation on Data Centers -- David Nalley (External),Staff,Technology Management,Configuration Management,IT,TechDay
7/17/15 17:09,Distributed Ledgers -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,New Payment Platform -- Kumar Venkataramiah,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Distributed Ledgers -- Jerry Kickenson,,,,,,Staff,Messaging and Application Delivery,Messaging,Marketing,TechDay
7/17/15 17:10,Distributed Ledgers -- Jerry Kickenson,New Payment Platform -- Kumar Venkataramiah,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Block Chain -- Deepak Janardhanan,Distributed Ledgers -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,,,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Technology Management,COTS Problem Management,IT,TechDay
7/17/15 17:11,New Payment Platform -- Kumar Venkataramiah,Distributed Ledgers -- Jerry Kickenson,Combinatorial Testing -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,New Payment Platform -- Kumar Venkataramiah,Innovation on Data Centers -- David Nalley (External),New Payment Platform -- Kumar Venkataramiah,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Manager,Messaging Solutions,SWIFTNet Link,IT,TechDay
7/17/15 17:12,Distributed Ledgers -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Combinatorial Testing -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Distributed Ledgers -- Jerry Kickenson,,,,,,Staff,Technology Management,OSS Foundation & Security Dev/Maint,IT,TechDay
7/17/15 17:12,Distributed Ledgers -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,New Payment Platform -- Kumar Venkataramiah,External Threat Intelligence --Byron Thatcher,Distributed Ledgers -- Jerry Kickenson,,,,,,Manager,Internal Audit,Americas Audit,Internal Audit,TechDay
7/17/15 17:12,Block Chain -- Deepak Janardhanan,Open Stack -- Michael Solberg (Red Hat),Business Intelligence -- Pieter Camps,Combinatorial Testing -- Jerry Kickenson,Block Chain -- Deepak Janardhanan,Innovation on Data Centers -- David Nalley (External),Block Chain -- Deepak Janardhanan,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Manager,DA & FIN Delivery,SCP - UNN,IT,TechDay
7/17/15 17:13,Containers -- Red Hat (External),Open Stack -- Michael Solberg (Red Hat),Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Innovation on Data Centers -- David Nalley (External),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,,,Innovation on Data Centers -- David Nalley (External),Staff,DA & FIN Delivery,Centre of Expertise,IT,TechDay
7/17/15 17:17,Innovation on Data Centers -- David Nalley (External),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Block Chain -- Deepak Janardhanan,Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Staff,Messaging Solutions,Messaging Integration,IT,TechDay
7/17/15 17:21,Innovation on Data Centers -- David Nalley (External),Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Distributed Ledgers -- Jerry Kickenson,Business Intelligence -- Pieter Camps,Innovation on Data Centers -- David Nalley (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Combinatorial Testing -- Jerry Kickenson,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,CISO,Security Risk Management,IT,TechDay
7/17/15 17:21,Block Chain -- Deepak Janardhanan,New Payment Platform -- Kumar Venkataramiah,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Block Chain -- Deepak Janardhanan,,,,,,Staff,DA & FIN Delivery,SP - BS,IT,TechDay
7/17/15 17:23,Innovation on Data Centers -- David Nalley (External),Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Business Intelligence -- Pieter Camps,External Threat Intelligence --Byron Thatcher,Innovation on Data Centers -- David Nalley (External),,,,,,Manager,Messaging Solutions,PKI Infrastructure,IT,TechDay
7/17/15 17:27,Innovation on Data Centers -- David Nalley (External),Business Intelligence -- Pieter Camps,Open Stack -- Michael Solberg (Red Hat),New Payment Platform -- Kumar Venkataramiah,Innovation on Data Centers -- David Nalley (External),,,,,,Staff,Strategic Architecture,Requirements & Methodology Engineering,IT,TechDay
7/17/15 17:37,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,New Payment Platform -- Kumar Venkataramiah,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,New Payment Platform -- Kumar Venkataramiah,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,DA & FIN Delivery,RP - FIN Bridge,IT,TechDay
7/17/15 17:37,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Open Stack -- Michael Solberg (Red Hat),External Threat Intelligence --Byron Thatcher,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),External Threat Intelligence --Byron Thatcher,,,Innovation on Data Centers -- David Nalley (External),Staff,Product Assurance & Certification,SWIFTNet & SNL Testing,IT,TechDay
7/17/15 17:38,Distributed Ledgers -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Block Chain -- Deepak Janardhanan,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Distributed Ledgers -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,,,Innovation on Data Centers -- David Nalley (External),L1 Manager,Messaging Solutions,Messaging Solutions,IT,TechDay
7/17/15 17:50,Innovation on Data Centers -- David Nalley (External),Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),External Threat Intelligence --Byron Thatcher,Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),External Threat Intelligence --Byron Thatcher,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,DA & FIN Delivery,SCP - UNN,IT,TechDay
7/17/15 18:15,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),,,,,,Staff,Messaging Solutions,SWIFTNet Link,IT,TechDay
7/17/15 18:18,Combinatorial Testing -- Jerry Kickenson,Containers -- Red Hat (External),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Combinatorial Testing -- Jerry Kickenson,,Distributed Ledgers -- Jerry Kickenson,,,,Staff,Messaging Solutions,SWIFTNet Link,IT,TechDay
7/17/15 18:28,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Containers -- Red Hat (External),Distributed Ledgers -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,Security Incident Analysis & Response -- Eric Bartel & Satya P.,,,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Technology Management,COTS Baselines,IT,TechDay
7/17/15 18:31,Innovation on Data Centers -- David Nalley (External),Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),Block Chain -- Deepak Janardhanan,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Strategic Architecture,Architecture Definition,IT,TechDay
7/17/15 18:32,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Manager,Messaging Solutions,Messaging Integration,IT,TechDay
7/17/15 19:17,Distributed Ledgers -- Jerry Kickenson,Combinatorial Testing -- Jerry Kickenson,Block Chain -- Deepak Janardhanan,Open Stack -- Michael Solberg (Red Hat),Distributed Ledgers -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Manager,Messaging Solutions,Messaging Core,IT,TechDay
7/17/15 19:28,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Containers -- Red Hat (External),Open Stack -- Michael Solberg (Red Hat),Security Incident Analysis & Response -- Eric Bartel & Satya P.,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Distributed Ledgers -- Jerry Kickenson,,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Technology Management,Operational Support Systems,IT,TechDay
7/17/15 19:29,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Staff,Messaging Solutions,Messaging Integration,IT,TechDay
7/17/15 19:51,Distributed Ledgers -- Jerry Kickenson,New Payment Platform -- Kumar Venkataramiah,Block Chain -- Deepak Janardhanan,Combinatorial Testing -- Jerry Kickenson,Distributed Ledgers -- Jerry Kickenson,Business Intelligence -- Pieter Camps,Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Staff,Technology Management,Infrastructure & Architecture,IT,TechDay
7/17/15 19:53,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Business Intelligence -- Pieter Camps,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Security Incident Analysis & Response -- Eric Bartel & Satya P.,,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Technology Management,OSS Network Dev/Maint,IT,TechDay
7/17/15 20:14,Combinatorial Testing -- Jerry Kickenson,Block Chain -- Deepak Janardhanan,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Business Intelligence -- Pieter Camps,Combinatorial Testing -- Jerry Kickenson,Business Intelligence -- Pieter Camps,,,,Business Intelligence -- Pieter Camps,Staff,DA & FIN Delivery,SP - BS,IT,TechDay
7/17/15 20:14,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Open Stack -- Michael Solberg (Red Hat),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,New Payment Platform -- Kumar Venkataramiah,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Business Intelligence -- Pieter Camps,,,,Business Intelligence -- Pieter Camps,Staff,Messaging Solutions,Messaging Development,IT,TechDay
7/17/15 20:34,Innovation on Data Centers -- David Nalley (External),Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Manager,Enterprise Operations,EM SA & ATM US,Operations,TechDay
7/17/15 20:44,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,External Threat Intelligence --Byron Thatcher,Block Chain -- Deepak Janardhanan,Innovation on Data Centers -- David Nalley (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Combinatorial Testing -- Jerry Kickenson,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Technology Management,Operational Support Systems,IT,TechDay
7/17/15 20:49,My Standards (Webex) -- Nicolas Ernotte,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,Distributed Ledgers -- Jerry Kickenson,My Standards (Webex) -- Nicolas Ernotte,My Standards (Webex) -- Nicolas Ernotte,Distributed Ledgers -- Jerry Kickenson,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,My Standards (Webex) -- Nicolas Ernotte,Staff,Messaging Solutions,Messaging Projects,IT,TechDay
7/17/15 20:55,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Containers -- Red Hat (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,Containers -- Red Hat (External),Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,,,,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Manager,CISO,"Security Policies, Intelligence&Response",IT,TechDay
7/17/15 20:55,Innovation on Data Centers -- David Nalley (External),Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Combinatorial Testing -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Innovation on Data Centers -- David Nalley (External),Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,,,Innovation on Data Centers -- David Nalley (External),Staff,Messaging Solutions,Messaging Security & Infrastruc.Projects,IT,TechDay
